train.py --algo ppo --env MiniGrid-DoorKey-5x5-v0 --model MiniGrid-DoorKey-5x5-v0_Adaptive_Hierachical_3_ --frames 1500000 --seed 3 --Method Adaptive_Hierachical

Namespace(Method='Adaptive_Hierachical', NUM_UNITS=4, Number_active=2, UnitActivityMask=None, algo='ppo', batch_size=256, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env='MiniGrid-DoorKey-5x5-v0', epochs=4, frames=1500000, frames_per_proc=128, freeze_sharedParameters=False, gae_lambda=0.95, k=2, log_interval=1, lr=0.0001, max_grad_norm=0.5, mem=True, model='MiniGrid-DoorKey-5x5-v0_Adaptive_Hierachical_3_', model_dir_save=None, num_schemas=4, optim_alpha=0.99, optim_eps=1e-08, procs=16, recurrence=32, rim_type='Original', rnn_cell='LSTM', save_interval=10, schema_weighting=None, seed=3, text=False, use_rim=False, value_loss_coef=0.5)

Device: cuda

Environments loaded

Training status loaded

Observations preprocessor loaded
number of model parameters:54736

Model loaded

ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (memory_rnn): LSTMCell(64, 64)
  (actor): Sequential(
    (0): Linear(in_features=64, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=64, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
  (QuantizerFunction): QuantizerFunction(
    (Quantization_projector): Linear(in_features=64, out_features=8, bias=True)
    (Quantization_projector_back): Linear(in_features=8, out_features=64, bias=True)
    (QuantizeFunctions): ModuleList(
      (0): Quantize(
        (out_proj): Linear(in_features=8, out_features=8, bias=True)
        (embed): Embedding(32, 8)
      )
      (1): Quantize(
        (out_proj): Linear(in_features=8, out_features=8, bias=True)
        (embed): Embedding(32, 4)
      )
      (2): Quantize(
        (out_proj): Linear(in_features=8, out_features=8, bias=True)
        (embed): Embedding(32, 2)
      )
    )
    (quantization_attention): MultiheadAttention(
      (out_proj): _LinearWithBias(in_features=8, out_features=8, bias=True)
    )
  )
)

Optimizer loaded

U 1 | F 002048 | FPS 0261 | D 7 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 0.0 0.0 0 0 | H 1.945 | V -0.033 | pL -0.006 | vL 0.000 | ∇ 0.016
U 2 | F 004096 | FPS 0274 | D 15 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 250.0 0.0 250.0 250.0 | H 1.945 | V -0.025 | pL -0.008 | vL 0.000 | ∇ 0.016
U 3 | F 006144 | FPS 0275 | D 22 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 250.0 0.0 250.0 250.0 | H 1.945 | V -0.024 | pL -0.004 | vL 0.000 | ∇ 0.008
U 4 | F 008192 | FPS 0273 | D 30 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 250.0 0.0 250.0 250.0 | H 1.946 | V -0.016 | pL -0.007 | vL 0.000 | ∇ 0.009
U 5 | F 010240 | FPS 0274 | D 37 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 250.0 0.0 250.0 250.0 | H 1.946 | V -0.014 | pL -0.003 | vL 0.000 | ∇ 0.008
U 6 | F 012288 | FPS 0274 | D 45 | rR:μσmM 0.02 0.08 0.00 0.31 | F:μσmM 246.3 14.3 191.0 250.0 | H 1.946 | V -0.007 | pL -0.008 | vL 0.001 | ∇ 0.014
U 7 | F 014336 | FPS 0274 | D 52 | rR:μσmM 0.02 0.08 0.00 0.31 | F:μσmM 246.3 14.3 191.0 250.0 | H 1.946 | V -0.004 | pL -0.001 | vL 0.000 | ∇ 0.006
U 8 | F 016384 | FPS 0274 | D 60 | rR:μσmM 0.01 0.04 0.00 0.16 | F:μσmM 249.0 3.9 234.0 250.0 | H 1.946 | V 0.000 | pL -0.003 | vL 0.000 | ∇ 0.008
U 9 | F 018432 | FPS 0274 | D 67 | rR:μσmM 0.01 0.04 0.00 0.16 | F:μσmM 249.0 3.9 234.0 250.0 | H 1.946 | V 0.000 | pL 0.000 | vL 0.000 | ∇ 0.005
U 10 | F 020480 | FPS 0275 | D 75 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 250.0 0.0 250.0 250.0 | H 1.946 | V 0.000 | pL -0.000 | vL 0.000 | ∇ 0.006
Status saved
U 11 | F 022528 | FPS 0274 | D 82 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 250.0 0.0 250.0 250.0 | H 1.946 | V 0.000 | pL 0.000 | vL 0.000 | ∇ 0.004
U 12 | F 024576 | FPS 0275 | D 90 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 250.0 0.0 250.0 250.0 | H 1.946 | V 0.000 | pL -0.000 | vL 0.000 | ∇ 0.004
