train.py --algo ppo --env MiniGrid-MultiRoom-N2-S4-v0 --model MiniGrid-MultiRoom-N2-S4-v0_Adaptive_Hierachical_4_ --frames 1500000 --seed 4 --Method Adaptive_Hierachical

Namespace(Method='Adaptive_Hierachical', NUM_UNITS=4, Number_active=2, UnitActivityMask=None, algo='ppo', batch_size=256, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env='MiniGrid-MultiRoom-N2-S4-v0', epochs=4, frames=1500000, frames_per_proc=128, freeze_sharedParameters=False, gae_lambda=0.95, k=2, log_interval=1, lr=0.0001, max_grad_norm=0.5, mem=True, model='MiniGrid-MultiRoom-N2-S4-v0_Adaptive_Hierachical_4_', model_dir_save=None, num_schemas=4, optim_alpha=0.99, optim_eps=1e-08, procs=16, recurrence=32, rim_type='Original', rnn_cell='LSTM', save_interval=10, schema_weighting=None, seed=4, text=False, use_rim=False, value_loss_coef=0.5)

Device: cuda

Environments loaded

Training status loaded

Observations preprocessor loaded
number of model parameters:54736

Model loaded

ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (memory_rnn): LSTMCell(64, 64)
  (actor): Sequential(
    (0): Linear(in_features=64, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=64, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
  (QuantizerFunction): QuantizerFunction(
    (Quantization_projector): Linear(in_features=64, out_features=8, bias=True)
    (Quantization_projector_back): Linear(in_features=8, out_features=64, bias=True)
    (QuantizeFunctions): ModuleList(
      (0): Quantize(
        (out_proj): Linear(in_features=8, out_features=8, bias=True)
        (embed): Embedding(32, 8)
      )
      (1): Quantize(
        (out_proj): Linear(in_features=8, out_features=8, bias=True)
        (embed): Embedding(32, 4)
      )
      (2): Quantize(
        (out_proj): Linear(in_features=8, out_features=8, bias=True)
        (embed): Embedding(32, 2)
      )
    )
    (quantization_attention): MultiheadAttention(
      (out_proj): _LinearWithBias(in_features=8, out_features=8, bias=True)
    )
  )
)

Optimizer loaded

U 1 | F 002048 | FPS 0266 | D 7 | rR:μσmM 0.01 0.04 0.00 0.30 | F:μσmM 39.8 1.3 31.0 40.0 | H 1.943 | V -0.031 | pL -0.032 | vL 0.001 | ∇ 0.026
U 2 | F 004096 | FPS 0309 | D 14 | rR:μσmM 0.01 0.09 0.00 0.64 | F:μσmM 39.5 3.4 16.0 40.0 | H 1.943 | V -0.017 | pL -0.014 | vL 0.000 | ∇ 0.022
U 3 | F 006144 | FPS 0308 | D 20 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 40.0 0.0 40.0 40.0 | H 1.944 | V -0.007 | pL -0.007 | vL 0.000 | ∇ 0.015
U 4 | F 008192 | FPS 0310 | D 27 | rR:μσmM 0.01 0.09 0.00 0.64 | F:μσmM 39.5 3.4 16.0 40.0 | H 1.944 | V -0.005 | pL -0.005 | vL 0.001 | ∇ 0.020
U 5 | F 010240 | FPS 0306 | D 34 | rR:μσmM 0.01 0.07 0.00 0.44 | F:μσmM 39.6 2.2 25.0 40.0 | H 1.943 | V 0.003 | pL -0.005 | vL 0.001 | ∇ 0.021
U 6 | F 012288 | FPS 0312 | D 40 | rR:μσmM 0.01 0.05 0.00 0.35 | F:μσmM 39.8 1.6 29.0 40.0 | H 1.943 | V 0.003 | pL -0.000 | vL 0.001 | ∇ 0.013
U 7 | F 014336 | FPS 0308 | D 47 | rR:μσmM 0.02 0.09 0.00 0.57 | F:μσmM 39.5 3.0 19.0 40.0 | H 1.943 | V 0.009 | pL -0.004 | vL 0.002 | ∇ 0.020
U 8 | F 016384 | FPS 0309 | D 54 | rR:μσmM 0.01 0.07 0.00 0.53 | F:μσmM 39.6 2.7 21.0 40.0 | H 1.942 | V 0.007 | pL -0.000 | vL 0.001 | ∇ 0.017
U 9 | F 018432 | FPS 0310 | D 60 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 40.0 0.0 40.0 40.0 | H 1.943 | V 0.006 | pL 0.003 | vL 0.000 | ∇ 0.010
U 10 | F 020480 | FPS 0310 | D 67 | rR:μσmM 0.02 0.09 0.00 0.60 | F:μσmM 39.5 3.1 18.0 40.0 | H 1.943 | V 0.014 | pL -0.001 | vL 0.001 | ∇ 0.026
Status saved
U 11 | F 022528 | FPS 0308 | D 74 | rR:μσmM 0.02 0.10 0.00 0.69 | F:μσmM 39.4 3.7 14.0 40.0 | H 1.942 | V 0.010 | pL 0.001 | vL 0.001 | ∇ 0.015
U 12 | F 024576 | FPS 0310 | D 80 | rR:μσmM 0.00 0.03 0.00 0.19 | F:μσmM 39.9 0.6 36.0 40.0 | H 1.942 | V 0.009 | pL 0.004 | vL 0.000 | ∇ 0.010
U 13 | F 026624 | FPS 0310 | D 87 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 40.0 0.0 40.0 40.0 | H 1.943 | V 0.004 | pL 0.004 | vL 0.000 | ∇ 0.007
